status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,CALL,CE,26050,2025-10-30,2025-10-29T10:55:00,2025-10-29T11:15:00,66.82,45.84,46.78,110.26,SL_HIT,-1363.83,53.78,-1417.61,65,1,26041.4,0.4927,0.1207,12.07,2025-10-30,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,25900,2025-11-06,2025-10-30T10:40:00,2025-10-30T15:15:00,107.26,97.82,75.08,176.98,FORCE_EXIT,-613.67,59.74,-673.41,65,1,25917.8,-0.4554,0.1265,12.65,2025-11-04,0.8,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,PUT,PE,25900,2025-11-06,2025-10-30T10:40:00,2025-10-30T11:10:00,61.06,41.89,42.74,100.75,SL_HIT,-1246.24,53.21,-1299.45,65,1,25917.8,-0.4473,0.1241,12.41,2025-11-06,1.5,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,PUT,PE,25350,2025-11-13,2025-11-07T09:55:00,2025-11-07T11:10:00,118.27,82.12,82.79,195.14,SL_HIT,-2349.23,58.93,-2408.15,65,1,25342.25,-0.4879,0.1249,12.49,2025-11-11,0.8,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,CALL,CE,25600,2025-11-13,2025-11-10T09:45:00,2025-11-10T11:40:00,69.59,78.19,48.71,114.83,SL_HIT,558.78,56.53,502.25,65,1,25580.65,0.4733,0.1216,12.16,2025-11-13,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25600,2025-11-13,2025-11-10T09:50:00,2025-11-10T10:00:00,75.03,51.73,52.52,123.8,SL_HIT,-1514.31,54.61,-1568.92,65,1,25592.9,0.4991,0.1216,12.16,2025-11-13,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,26100,2025-12-04,2025-11-26T10:35:00,2025-11-26T13:25:00,111.95,133.82,78.36,184.72,SL_HIT,1421.62,62.86,1358.76,65,1,26088.5,0.507,0.1123,11.23,2025-12-02,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,26150,2025-12-04,2025-11-26T11:45:00,2025-11-26T14:50:00,103.29,102.67,72.31,170.43,SL_HIT,-40.39,59.96,-100.35,65,1,26131.6,0.4948,0.1123,11.23,2025-12-02,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25900,2025-12-18,2025-12-09T12:20:00,2025-12-09T12:55:00,110.02,76.4,77.01,181.53,SL_HIT,-2185.46,58.11,-2243.57,65,1,25921.55,0.5618,0.1006,10.06,2025-12-16,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25900,2025-12-18,2025-12-11T12:40:00,2025-12-11T13:05:00,96.68,67.14,67.68,159.53,SL_HIT,-1920.53,56.79,-1977.32,65,1,25899.85,0.5237,0.1006,10.06,2025-12-16,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25850,2025-12-25,2025-12-18T11:20:00,2025-12-18T14:00:00,96.96,69.25,69.81,159.98,SL_HIT,-1800.9,56.97,-1857.87,65,1,25852.0,0.5304,0.0938,9.38,2025-12-23,0.8,0,VWAP_RECLAIM,0.6,BULL_PULLBACK
COMPLETED,CALL,CE,25850,2025-12-25,2025-12-18T11:20:00,2025-12-18T14:00:00,96.96,69.25,69.81,159.98,SL_HIT,-1800.9,56.97,-1857.87,65,1,25852.0,0.5304,0.0938,9.38,2025-12-23,0.8,0,VWAP_RECLAIM_REENTRY,0.44999999999999996,BULL_PULLBACK
COMPLETED,CALL,CE,26250,2026-01-08,2026-01-02T10:10:00,2026-01-02T15:15:00,110.86,126.86,77.6,182.92,FORCE_EXIT,1040.01,62.25,977.76,65,1,26254.65,0.5339,0.1002,10.02,2026-01-06,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,25200,2026-01-22,2026-01-21T09:50:00,2026-01-21T10:40:00,118.27,193.0,82.79,195.15,TARGET_HIT,4857.39,67.95,4789.45,65,1,25177.55,-0.5149,0.1378,13.78,2026-01-21,1.1,0,EMA_PULLBACK,0.85,STRONG_BEAR
COMPLETED,PUT,PE,25200,2026-01-22,2026-01-21T09:50:00,2026-01-21T10:40:00,90.36,146.86,63.25,149.09,TARGET_HIT,3672.31,63.0,3609.31,65,1,25177.55,-0.5311,0.1335,13.35,2026-01-22,1.5,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,CALL,CE,25200,2026-01-29,2026-01-21T12:20:00,2026-01-21T12:25:00,55.81,38.28,39.07,92.08,SL_HIT,-1139.06,52.7,-1191.75,65,1,25185.85,0.4725,0.1337,13.37,2026-01-29,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25200,2026-01-29,2026-01-21T12:30:00,2026-01-21T12:45:00,53.91,69.45,37.74,88.95,SL_HIT,1010.46,55.15,955.31,65,1,25185.45,0.4702,0.1337,13.37,2026-01-29,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25350,2026-02-05,2026-01-29T13:00:00,2026-01-29T14:05:00,87.51,108.99,61.26,144.4,SL_HIT,1396.25,59.8,1336.45,65,1,25351.3,0.5182,0.1225,12.25,2026-02-04,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25850,2026-02-05,2026-02-03T11:55:00,2026-02-03T12:25:00,94.4,65.35,66.08,155.76,SL_HIT,-1888.07,56.55,-1944.61,65,1,25847.85,0.5131,0.1225,12.25,2026-02-04,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25850,2026-02-05,2026-02-03T11:55:00,2026-02-03T12:05:00,61.61,42.26,43.13,101.65,SL_HIT,-1257.43,53.27,-1310.7,65,1,25847.85,0.5056,0.1217,12.17,2026-02-05,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25850,2026-02-12,2026-02-03T11:55:00,2026-02-03T12:25:00,113.57,78.86,79.5,187.39,SL_HIT,-2255.92,58.46,-2314.39,65,1,25847.85,0.5186,0.1167,11.67,2026-02-10,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25850,2026-02-12,2026-02-09T10:30:00,2026-02-09T15:15:00,109.35,102.65,76.54,180.42,FORCE_EXIT,-435.22,60.22,-495.44,65,1,25826.25,0.4896,0.1167,11.67,2026-02-10,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
